SITE CODE= E4EìåãûêÁë„ìcãÊëÂéËí¨        ,38.1033,142.8600, 24,9.0,40613.6154873, 54.13, 94.51
 LAT.=   35.6890
 LON.=  139.7559
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 47 10
 NS,EW,UD
-0.083,0.019,0.016
-0.044,0.049,0.028
-0.001,0.065,0.026
0.044,0.067,0.010
0.084,0.059,-0.007
0.112,0.051,-0.016
0.120,0.052,-0.014
0.113,0.059,-0.007
0.104,0.062,-0.001
0.102,0.049,0.001
0.106,0.020,-0.001
0.103,-0.011,-0.006
0.080,-0.034,-0.011
0.033,-0.046,-0.014
-0.023,-0.052,-0.013
-0.070,-0.057,-0.007
-0.095,-0.059,0.003
-0.100,-0.054,0.017
-0.093,-0.044,0.027
-0.086,-0.038,0.028
-0.078,-0.040,0.020
-0.067,-0.046,0.006
-0.052,-0.047,-0.003
-0.038,-0.035,-0.006
-0.029,-0.012,-0.003
-0.024,0.014,0.001
-0.018,0.034,0.004
-0.007,0.048,0.003
0.008,0.059,-0.002
0.023,0.072,-0.009
0.036,0.082,-0.012
0.045,0.082,-0.007
0.051,0.063,0.001
0.053,0.031,0.005
0.051,-0.001,0.000
0.045,-0.028,-0.013
0.035,-0.046,-0.023
0.023,-0.058,-0.024
0.006,-0.064,-0.017
-0.011,-0.063,-0.007
-0.025,-0.055,0.000
-0.030,-0.043,0.011
-0.024,-0.034,0.024
-0.009,-0.024,0.038
0.008,-0.008,0.043
0.025,0.015,0.034
0.039,0.043,0.016
0.050,0.069,-0.001
0.052,0.089,-0.010
0.044,0.102,-0.006
0.023,0.107,0.002
-0.006,0.099,0.009
-0.034,0.077,0.009
-0.053,0.044,0.003
-0.063,0.007,-0.004
-0.063,-0.025,-0.008
-0.055,-0.054,-0.011
-0.041,-0.078,-0.013
-0.022,-0.097,-0.016
-0.005,-0.111,-0.018
0.007,-0.118,-0.020
0.014,-0.117,-0.021
0.017,-0.109,-0.021
0.015,-0.089,-0.017
0.003,-0.053,-0.007
-0.019,-0.002,0.009
-0.042,0.053,0.028
-0.045,0.095,0.037
-0.020,0.109,0.028
0.020,0.096,0.002
0.049,0.072,-0.028
0.050,0.056,-0.044
0.029,0.054,-0.035
0.004,0.056,-0.009
-0.009,0.048,0.015
-0.013,0.023,0.024
-0.013,-0.009,0.021
-0.013,-0.036,0.015
-0.009,-0.055,0.011
0.003,-0.071,0.005
0.021,-0.087,-0.004
0.034,-0.099,-0.012
0.038,-0.097,-0.012
0.032,-0.078,-0.006
0.022,-0.044,-0.002
0.013,-0.006,-0.005
0.007,0.026,-0.010
0.003,0.051,-0.008
-0.004,0.066,0.001
-0.017,0.075,0.010
-0.032,0.079,0.014
